frame,25px_sum,25px_mean,10px_sum,10px_mean
0,26080,1043.2,12496,1249.6
1,26368,1054.72,12656,1265.6
2,24544,981.76,11104,1110.4
3,24800,992.0,11472,1147.2
4,23328,933.12,10672,1067.2
5,23408,936.32,11024,1102.4
6,29248,1169.92,15984,1598.4
7,24960,998.4,11888,1188.8
8,21424,856.96,9232,923.2
9,0,nan,0,nan
10,0,nan,0,nan
11,0,nan,0,nan
12,0,nan,0,nan
13,0,nan,0,nan
14,20528,821.12,8848,884.8
15,20784,831.36,9040,904.0
16,24864,994.56,11776,1177.6
17,23456,938.24,10608,1060.8
18,24384,975.36,11200,1120.0
19,28896,1155.84,14304,1430.4
20,30064,1202.56,14928,1492.8
21,28576,1143.04,14528,1452.8
22,25280,1011.2,12160,1216.0
23,25312,1012.48,12432,1243.2
24,24192,967.68,11360,1136.0
25,23936,957.44,10944,1094.4
26,21904,876.16,9392,939.2
27,21360,854.4,9120,912.0
28,0,nan,0,nan
29,0,nan,0,nan
30,23632,945.28,10112,1011.2
31,26336,1053.44,12384,1238.4
32,28688,1147.52,14464,1446.4
33,24400,976.0,10976,1097.6
34,33520,1340.8,18592,1859.2
35,36096,1443.84,20320,2032.0
36,25008,1000.32,11968,1196.8
37,0,nan,0,nan
38,32096,1283.84,17376,1737.6
39,28976,1159.04,14704,1470.4
40,24816,992.64,11744,1174.4
41,21984,879.36,9472,947.2
42,22064,882.56,9632,963.2
43,21200,848.0,9280,928.0
44,20000,800.0,8432,843.2
45,0,nan,0,nan
46,20192,807.68,8528,852.8
47,22656,906.24,9792,979.2
48,24848,993.92,11616,1161.6
49,23696,947.84,10528,1052.8
50,25392,1015.68,11776,1177.6
51,24016,960.64,10832,1083.2
52,0,nan,0,nan
53,0,nan,0,nan
54,23760,950.4,10544,1054.4
55,27712,1108.48,13472,1347.2
56,25872,1034.88,12416,1241.6
57,22768,910.72,9952,995.2
58,28512,1140.48,14336,1433.6
59,23552,942.08,10848,1084.8
60,22992,919.68,10064,1006.4
61,21360,854.4,9088,908.8
62,22176,887.04,9376,937.6
63,22256,890.24,9408,940.8
