RFP_raw,GCaMP_raw
36528,18048
43872,
49840,27232
59040,
57376,
53152,23072
50448,22336
54592,
50464,21872
59136,27024
59840,21568
49616,22688
52560,20848
59248,21216
66864,21232
75328,19120
75856,
59920,18320
58160,20304
61936,22736
60384,23808
53712,24512
62512,
54800,24448
57312,24864
57040,22128
49904,21264
47680,21504
48816,19600
38176,19520
45952,24256
50928,22672
49136,23408
45568,21744
42432,22736
37376,22608
38656,19984
42736,19456
38448,20608
50672,20576
58000,
60896,21472
49632,
55904,19776
53712,18112
27264,18512
29248,17632
27248,18560
,23712
41776,22912
34992,24400
34720,21104
33456,21248
41536,18016
38048,21152
50304,20016
50784,17968
40176,20352
44800,22816
53568,20736
59440,
65776,
85216,
96816,22224
93232,21088
95136,23936
79024,
62592,20336
46624,19104
48976,22400
54064,
58880,22160
62320,
56896,
58064,
57136,22624
54112,
55968,20784
45040,21856
49840,22832
43952,19392
37888,15856
31136,17648
33472,21024
40224,20736
43984,18976
43696,
49872,20688
51424,
51616,17200
50896,16592
50720,15664
51088,16256
46384,16240
52960,14816
53712,14032
41200,15488
43392,16096
42688,18416
45552,21344
51600,22240
52672,24176
56560,22560
54944,
50464,
41904,19952
48288,19760
49760,19520
39712,17792
45632,18656
38448,19152
33616,20080
41760,
42288,
44112,21872
41920,23280
48464,22400
48800,
47584,
46096,
58144,
69024,29376
89776,26416
106464,19616
71840,17712
62688,
83616,20832
60080,
69904,32336
57040,26880
64208,31936
73632,
73600,
51904,24288
47872,
39104,
33888,
37296,
30768,15008
34016,12496
39104,12800
45328,13248
39104,12016
39616,13584
40128,
42400,22608
47344,20048
47296,20928
44304,17760
33840,
41232,21920
43344,22288
46352,
54624,
60912,
50784,17920
52688,16576
45616,16320
44752,16672
48192,15760
33136,12736
23952,11536
,11104
,13024
,11888
,10880
,10560
,11872
,12576
,13040
23632,13440
23152,14096
23872,14128
18704,14816
24736,12976
23920,15552
26336,17120
36832,19184
40208,27936
62784,31456
71568,
69936,
70560,
69088,32176
70128,
68576,
67136,
65712,
56288,
49040,19616
45168,
47472,
54400,20176
46144,16720
40032,
47952,
64896,
59056,
58864,
64432,
62048,21456
54256,20144
48272,18448
44736,19712
37392,18368
37760,
37968,21184
44816,
44080,
45360,21344
46672,20848
48176,18144
40032,19760
37520,
50272,
53696,
52592,
56512,
48352,
55952,23152
49952,23728
42560,23792
38176,21424
37600,21888
28736,26400
40784,29296
50432,25728
50368,22640
50912,21184
51664,23264
52336,20256
50000,17584
40784,15936
33104,16992
34208,17648
40896,18448
44288,16864
41968,17536
41216,18592
38912,22496
42432,23296
52368,20144
39968,20192
39056,20704
36176,
39088,21664
42336,20512
41712,18240
41888,22224
35504,19376
36272,20112
35392,18480
34576,18864
29904,17952
26080,18016
25344,19072
26864,17552
27936,17968
29232,16832
30480,16512
29248,15664
27840,14992
25488,15504
25296,14368
24080,13856
24576,14080
25616,13584
26048,14848
,15648
30352,16544
,17904
31696,15968
29568,15680
26816,16128
28528,15376
27072,14992
25744,15136
24896,15040
24208,14960
24352,14144
23904,14576
,14416
22544,14736
,13584
,15504
23744,15408
28096,15408
24992,13696
24848,15504
23600,14944
25216,15328
29200,14800
25968,14320
25456,15136
25616,15680
25472,16768
,17344
25744,16384
,15296
25312,16736
25888,15552
29104,14112
24544,14128
24592,12720
22464,12416
22192,13072
22160,13216
22368,12896
21840,12704
21552,12832
,12640
,12672
,12112
,12160
,11456
,13008
,14224
23488,13632
,13120
24288,13024
22640,12592
22768,11440
21728,11680
21776,11424
,11152
,10160
,10320
,11968
,12640
21424,13328
23200,13600
24320,13632
24400,12464
23360,12560
,11888
,11936
,12080
,11728
,11296
,11968
,12304
,13232
22192,12336
22352,13040
22688,11664
22176,11616
,11616
,11344
,11168
,10432
,10784
,11568
,11136
,11264
,11280
,11616
,12432
21760,13616
23152,14720
23648,15232
24480,15136
25600,11984
,11376
,10800
,11600
,12336
,12032
,11760
22304,11760
,11360
,11008
,11552
,10880
,11488
,11264
,10608
,10720
,10464
,10752
,11392
,11184
,11840
,12416
,12688
,12576
21344,12144
,12640
,13232
,15360
23696,16080
26240,13776
25696,14432
27888,14912
,12816
27600,13584
30096,13248
24208,13440
24304,14576
26096,14848
29200,14304
26944,14016
24816,14496
24544,14160
,14128
,13472
,13680
21712,14752
,16032
23088,16336
26160,16592
25904,17472
25344,17712
26464,16800
32624,14800
25072,15408
24576,15440
27936,14672
30576,14704
32096,14288
30336,14304
27728,15680
28464,17504
34048,19440
39024,18768
37360,17728
37664,15824
32016,14432
25984,15216
25152,16112
28400,15568
26288,14976
25232,14400
22992,14624
23264,15376
,15360
23088,14704
23568,14752
23984,15168
24544,14976
26528,14464
32160,12576
31296,10800
24512,10208
23040,14608
