frame,25px_sum,25px_mean,10px_sum,10px_mean
0,24224,968.96,11840,1184
1,24512,980.48,12160,1216
2,20160,806.4,9072,907.2
3,20608,824.32,9344,934.4
4,20048,801.92,9680,968
5,21744,869.76,10656,1065.6
6,21312,852.48,10176,1017.6
7,27824,1112.96,15008,1500.8
8,25440,1017.6,12848,1284.8
9,29664,1186.56,16672,1667.2
10,20800,832,10000,1000
11,21744,869.76,10800,1080
12,23456,938.24,11136,1113.6
13,22608,904.32,10624,1062.4
14,23504,940.16,12480,1248
15,24416,976.64,13856,1385.6
16,23152,926.08,12368,1236.8
17,21520,860.8,11472,1147.2
18,17904,716.16,8128,812.8
19,19120,764.8,8720,872
20,17968,718.72,8032,803.2
21,0,nan,0,nan
22,34672,1386.88,20896,2089.6
23,42192,1687.68,28400,2840
24,45776,1831.04,31312,3131.2
25,45440,1817.6,27408,2740.8
26,45280,1811.2,27168,2716.8
27,0,nan,0,nan
28,0,nan,0,nan
29,0,nan,0,nan
30,0,nan,0,nan
31,2992,119.68,1376,137.6
32,7792,311.68,3456,345.6
33,4240,169.6,1856,185.6
34,4880,195.2,2208,220.8
35,14352,574.08,6432,643.2
36,19712,788.48,9648,964.8
37,20496,819.84,9664,966.4
38,20672,826.88,9536,953.6
39,20448,817.92,10608,1060.8
40,24512,980.48,12640,1264
41,26224,1048.96,13712,1371.2
42,23968,958.72,11680,1168
43,22512,900.48,10656,1065.6
44,0,nan,0,nan
45,26320,1052.8,14512,1451.2
46,0,nan,0,nan
47,26576,1063.04,14528,1452.8
48,26416,1056.64,14288,1428.8
49,25456,1018.24,13184,1318.4
50,23216,928.64,11488,1148.8
51,23024,920.96,11152,1115.2
52,22064,882.56,10480,1048
53,24224,968.96,11776,1177.6
54,26720,1068.8,14192,1419.2
55,20752,830.08,10192,1019.2
56,18976,759.04,9104,910.4
57,18384,735.36,8192,819.2
58,21088,843.52,9888,988.8
59,23504,940.16,11808,1180.8
60,20928,837.12,9808,980.8
61,22416,896.64,10816,1081.6
62,23344,933.76,11424,1142.4
63,27136,1085.44,14752,1475.2
64,25200,1008,12400,1240
65,29296,1171.84,16160,1616
66,0,nan,0,nan
67,0,nan,0,nan
68,0,nan,0,nan
69,0,nan,0,nan
70,0,nan,0,nan
71,0,nan,0,nan
72,23696,947.84,12000,1200
73,30272,1210.88,17696,1769.6
74,30576,1223.04,17104,1710.4
75,0,nan,0,nan
76,0,nan,0,nan
77,0,nan,0,nan
78,0,nan,0,nan
79,24448,977.92,12256,1225.6
80,21536,861.44,10160,1016
81,20848,833.92,9568,956.8
82,19264,770.56,8864,886.4
83,18112,724.48,8448,844.8
84,17824,712.96,7952,795.2
85,19008,760.32,8992,899.2
86,20000,800,9648,964.8
87,20832,833.28,10384,1038.4
88,22752,910.08,11712,1171.2
89,0,nan,0,nan
90,24032,961.28,12720,1272
91,26816,1072.64,14816,1481.6
92,27632,1105.28,15472,1547.2
93,28400,1136,15376,1537.6
94,28480,1139.2,15360,1536
95,28304,1132.16,15520,1552
96,29216,1168.64,15728,1572.8
97,25616,1024.64,13104,1310.4
98,22848,913.92,11312,1131.2
99,23808,952.32,11600,1160
