frame,25px sum,25px mean,10px sum,10px mean
0,169744,6789.76,71488,7148.8
1,163904,6556.16,69056,6905.6
2,154848,6193.92,63712,6371.2
3,151488,6059.52,62544,6254.4
4,153136,6125.44,63136,6313.6
5,157568,6302.72,64784,6478.4
6,159520,6380.8,65664,6566.4
7,166496,6659.84,69776,6977.6
8,167024,6680.96,69744,6974.4
9,0,nan,0,nan
10,0,nan,0,nan
11,0,nan,0,nan
12,0,nan,0,nan
13,0,nan,0,nan
14,0,nan,0,nan
15,0,nan,0,nan
16,0,nan,0,nan
17,0,nan,0,nan
18,0,nan,0,nan
19,0,nan,0,nan
20,0,nan,0,nan
21,0,nan,0,nan
22,0,nan,0,nan
23,0,nan,0,nan
24,0,nan,0,nan
25,0,nan,0,nan
26,0,nan,0,nan
27,0,nan,0,nan
28,0,nan,0,nan
29,153888,6155.52,64048,6404.8
30,153776,6151.04,63616,6361.6
31,168848,6753.92,71072,7107.2
32,167760,6710.4,70336,7033.6
33,193680,7747.2,89488,8948.8
34,200832,8033.28,93136,9313.6
35,196992,7879.68,92960,9296.0
36,193680,7747.2,89632,8963.2
37,207488,8299.52,96800,9680.0
38,205536,8221.44,95872,9587.2
39,190160,7606.4,87696,8769.6
40,180832,7233.28,84336,8433.6
41,175712,7028.48,80720,8072.0
42,174800,6992.0,80336,8033.6
43,171024,6840.96,75376,7537.6
44,174720,6988.8,75136,7513.6
45,166208,6648.32,71088,7108.8
46,164192,6567.68,70064,7006.4
47,160992,6439.68,67792,6779.2
48,157728,6309.12,66576,6657.6
49,161376,6455.04,70144,7014.4
50,163328,6533.12,71696,7169.6
51,165888,6635.52,71744,7174.4
52,170256,6810.24,75504,7550.4
53,172816,6912.64,76208,7620.8
54,175376,7015.04,75552,7555.2
55,179216,7168.64,78304,7830.4
56,186192,7447.68,82736,8273.6
57,195440,7817.6,91344,9134.4
58,188400,7536.0,84208,8420.8
59,179504,7180.16,80672,8067.2
60,171360,6854.4,76560,7656.0
61,156816,6272.64,66864,6686.4
62,161664,6466.56,68704,6870.4
63,166080,6643.2,71536,7153.6
64,157520,6300.8,67648,6764.8
65,155856,6234.24,65648,6564.8
66,149648,5985.92,62944,6294.4
67,145472,5818.88,61632,6163.2
68,144528,5781.12,61664,6166.4
69,140096,5603.84,58624,5862.4
70,141184,5647.36,59104,5910.4
71,143600,5744.0,59888,5988.8
72,139680,5587.2,58048,5804.8
73,138448,5537.92,58160,5816.0
74,129072,5162.88,52608,5260.8
75,0,nan,0,nan
76,0,nan,0,nan
77,0,nan,0,nan
78,0,nan,0,nan
79,0,nan,0,nan
80,145632,5825.28,60880,6088.0
81,158624,6344.96,68496,6849.6
82,174960,6998.4,75696,7569.6
83,196048,7841.92,92192,9219.2
84,199776,7991.04,91680,9168.0
85,202272,8090.88,92000,9200.0
86,202704,8108.16,88480,8848.0
87,212880,8515.2,95664,9566.4
88,218544,8741.76,100768,10076.8
89,225056,9002.24,105696,10569.6
90,194304,7772.16,83616,8361.6
91,189744,7589.76,83984,8398.4
92,194480,7779.2,87184,8718.4
93,177552,7102.08,76832,7683.2
94,197040,7881.6,89952,8995.2
95,207680,8307.2,98080,9808.0
96,196032,7841.28,91248,9124.8
97,194080,7763.2,91264,9126.4
98,183696,7347.84,81376,8137.6
99,219328,8773.12,102576,10257.6
100,233136,9325.44,113888,11388.8
101,234416,9376.64,116480,11648.0
102,217456,8698.24,101360,10136.0
103,216960,8678.4,105296,10529.6
104,202624,8104.96,91536,9153.6
105,207136,8285.44,95984,9598.4
106,195808,7832.32,88544,8854.4
107,195856,7834.24,90144,9014.4
108,192176,7687.04,86464,8646.4
109,190544,7621.76,86400,8640.0
110,183536,7341.44,82624,8262.4
111,180608,7224.32,81680,8168.0
112,179488,7179.52,80288,8028.8
113,177440,7097.6,79392,7939.2
114,176576,7063.04,79392,7939.2
115,175040,7001.6,78592,7859.2
116,178496,7139.84,81376,8137.6
117,173936,6957.44,77984,7798.4
118,175360,7014.4,80384,8038.4
119,177760,7110.4,81552,8155.2
120,178080,7123.2,82208,8220.8
121,178032,7121.28,80912,8091.2
122,174272,6970.88,78960,7896.0
123,169024,6760.96,76096,7609.6
124,173696,6947.84,78112,7811.2
125,180608,7224.32,82800,8280.0
126,186464,7458.56,84560,8456.0
127,179536,7181.44,82288,8228.8
128,173232,6929.28,78896,7889.6
129,168400,6736.0,75712,7571.2
130,173584,6943.36,77680,7768.0
131,176000,7040.0,79664,7966.4
132,172624,6904.96,78096,7809.6
133,165392,6615.68,74176,7417.6
134,169504,6780.16,76096,7609.6
135,172320,6892.8,77504,7750.4
136,171552,6862.08,76944,7694.4
137,173328,6933.12,78688,7868.8
138,177552,7102.08,81280,8128.0
139,176096,7043.84,80128,8012.8
140,175184,7007.36,80160,8016.0
141,170512,6820.48,77728,7772.8
142,179104,7164.16,82736,8273.6
143,175728,7029.12,78128,7812.8
144,175808,7032.32,78448,7844.8
145,172784,6911.36,76640,7664.0
146,176064,7042.56,78128,7812.8
147,178080,7123.2,79392,7939.2
148,181664,7266.56,81696,8169.6
149,180736,7229.44,80752,8075.2
150,186080,7443.2,82928,8292.8
151,188288,7531.52,84560,8456.0
152,192144,7685.76,86416,8641.6
153,193296,7731.84,86624,8662.4
154,201600,8064.0,90576,9057.6
