frame,nrD,nrV,nrD_ratio,nrV_ratio,head_angle,dhead_dt,theta_rad,theta_deg,bin_index,binned_theta_deg,binned_theta_rad,polar_x,polar_y
0,1.3060035476606244,0.8581900517341098,0.6034596664669362,0.3965403335330638,-66.135555964,0.0,3.141592653589793,180.0,18,185.0,3.2288591161895095,-0.9961946980917455,-0.0871557427476579
1,1.295066119547848,0.8689707176994763,0.5984492025538644,0.4015507974461356,-66.135555964,0.0,3.141592653589793,180.0,18,185.0,3.2288591161895095,-0.9961946980917455,-0.0871557427476579
2,1.2833642174016675,0.8805049007721868,0.5930877272673183,0.4069122727326816,-66.135555964,-3.6485415539999977,3.196704413673772,183.15767125434957,18,185.0,3.2288591161895095,-0.9961946980917455,-0.0871557427476579
3,1.204526014984662,0.7293164944925863,0.6228666549016272,0.3771333450983727,-73.432639072,-5.942658199,3.2223433380949436,184.62667341493756,18,185.0,3.2288591161895095,-0.9961946980917455,-0.0871557427476579
4,1.186052723065457,0.7461714186768302,0.6138277115179778,0.3861722884820222,-78.020872362,-3.985046654999998,3.1926249801566873,182.92393693101636,18,185.0,3.2288591161895095,-0.9961946980917455,-0.0871557427476579
5,1.1919872169989807,0.6432381919313682,0.6495045301785157,0.3504954698214842,-81.402732382,-2.1381724350000013,3.1678532082831414,181.50461895160132,18,185.0,3.2288591161895095,-0.9961946980917455,-0.0871557427476579
6,1.156999862206357,0.6557947395723158,0.6382410125621155,0.3617589874378845,-82.29721723200001,0.7353816310000028,3.13265721100559,179.4880368518437,17,175.0,3.0543261909900763,-0.9961946980917455,0.0871557427476586
7,1.1393087682786485,0.8303935451254133,0.5784167285206069,0.4215832714793932,-79.93196911999999,5.062561217999999,3.078341264378764,176.37596234986873,17,175.0,3.0543261909900763,-0.9961946980917455,0.0871557427476586
8,1.131269282874735,0.837507524712092,0.5746051449383724,0.4253948550616275,-72.17209479600001,10.628432101999998,2.9953784737336733,171.6225445892776,17,175.0,3.0543261909900763,-0.9961946980917455,0.0871557427476586
9,1.099481290228749,0.8433119993122928,0.5659280872276876,0.4340719127723123,-58.675104915999995,15.093159192800004,2.889818356516484,165.57439538782637,16,165.0,2.8797932657906435,-0.9659258262890682,0.258819045102521
10,1.101168584269104,0.8522202418969803,0.563722168120705,0.436277831879295,-41.9857764104,17.188416911299996,2.753020607618758,157.7364617290963,15,155.0,2.705260340591211,-0.90630778703665,0.4226182617406995
11,1.0963276991831314,0.741356988555821,0.5965809621736737,0.4034190378263262,-24.2982710934,17.9644425345,2.50495534441251,143.52336910357636,14,145.0,2.5307274153917776,-0.8191520442889917,0.5735764363510464
12,1.0626926334947602,0.5847186855064715,0.6450681874269468,0.3549318125730532,-6.056891341399999,16.867434726,1.9155441992299451,109.75259808664276,10,105.0,1.832595714594046,-0.2588190451025208,0.9659258262890684
13,1.0323667748402825,0.793596704013415,0.5653819404363889,0.4346180595636112,9.4365983586,14.444383365,0.9921007307611234,56.843184724457174,5,55.0,0.9599310885968813,0.573576436351046,0.8191520442889918
14,0.9537930002409024,0.8438720139900512,0.5305732673720291,0.4694267326279708,22.8318753886,12.6088141682,0.5045660291709213,28.90950395716857,2,25.0,0.4363323129985824,0.90630778703665,0.4226182617406994
15,0.9133536899978224,0.8675855178609703,0.512849448182984,0.487150551817016,34.654226695,11.8577903997,0.3296863295262859,18.889635245015484,1,15.0,0.2617993877991494,0.9659258262890684,0.2588190451025207
16,0.8857594658107207,0.9255226459448552,0.4890234713090623,0.5109765286909377,46.547456188,10.622832064500004,0.2243724994627047,12.855597258014315,1,15.0,0.2617993877991494,0.9659258262890684,0.2588190451025207
17,0.8641987908391278,1.1138651098221564,0.4368912402426527,0.5631087597573473,55.899890824,9.021260128999998,0.1600028923465135,9.167490441341288,0,5.0,0.0872664625997164,0.9961946980917455,0.0871557427476581
18,0.8271156608167537,0.9326111933111452,0.4700250262570796,0.5299749737429205,64.589976446,7.388991880000003,0.1139032679256137,6.526176524885509,0,5.0,0.0872664625997164,0.9961946980917455,0.0871557427476581
19,0.88426670698113,0.9024717359240436,0.4949055137266446,0.5050944862733554,70.67787458400001,5.424752462000001,0.0766030032509013,4.389028784303569,0,5.0,0.0872664625997164,0.9961946980917455,0.0871557427476581
